ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
40;Male;63;Post Renaissance Art;Rococo;Allan Ramsay;Portrait of David Hume;Europe;1766;https://use2-uploads5.wikiart.org/images/allan-ramsay/portrait-of-david-hume.jpg;https://www.wikiart.org/en/allan-ramsay;;no;5.362;1.5180684;0.37998977;-3.7447784;open;99.276;closed;0.01;64;99.871;59
41;Male;22;Post Renaissance Art;Romanticism;"Pierre-Paul Prud&#39;hon";Arnauld de Beaufort;Europe;1818;https://use2-uploads6.wikiart.org/images/pierre-paul-prud-hon/arnauld-de-beaufort-1818.jpg;https://www.wikiart.org/en/pierre-paul-prud-hon;;yes;358;15.647796;0.048924748;-12.165686;open;99.999;closed;0;0.05;658;6.855
43;Male;51;Post Renaissance Art;Rococo;Dmitry Levitzky;Portrait of Alexander Kokorinov, Director and First Rector of the Academy of Arts in St. Petersburg.;Europe;1769;https://use2-uploads5.wikiart.org/images/dmitry-levitzky/portrait-of-alexander-kokorinov-director-and-first-rector-of-the-academy-of-arts-in-st-1769.jpg;https://www.wikiart.org/en/dmitry-levitzky;;yes;387;2.506548;5.4014063;15.670031;open;99.988;closed;87;491;99.164;57
46;Male;49;Post Renaissance Art;Baroque;Rembrandt;Self-portrait with Saskia in the Parable of the Prodigal Son;;1635;https://use2-uploads4.wikiart.org/images/rembrandt/self-portrait-with-saskia-in-the-parable-of-the-prodigal-son.jpg;https://www.wikiart.org/en/rembrandt;;yes;98.085;7.658737;15.115259;31.996279;open;80.452;open;99.992;99.97;26;0.0
47;Female;64;Post Renaissance Art;Romanticism;Charles Turner;"Harriot Beauclerk (n&#233;e Mellon), Duchess of St Albans";Europe;1806;https://use2-uploads3.wikiart.org/images/charles-turner/harriot-beauclerk-n-e-mellon-duchess-of-st-albans-1806.jpg;https://www.wikiart.org/en/charles-turner;;no;13.397;9.897163;17.477661;47.069252;open;98.127;closed;27.951;61.953;25.604;79
50;Female;26;Post Renaissance Art;Realism;Constantin Stahi;Portrait of a Girl;Europe;1873;https://use2-uploads1.wikiart.org/images/constantin-stahi/portrait-of-a-girl-1873.jpg;https://www.wikiart.org/en/constantin-stahi;;no;32.603;-2.1869872;-16.94519;59.70441;open;91.988;closed;7.842;31.398;68.465;3
51;Male;63;Post Renaissance Art;Neoclassicism;Joshua Reynolds;Mrs Siddons as the Tragic Muse;Europe;1784;https://use2-uploads3.wikiart.org/images/joshua-reynolds/mrs-siddons-as-the-tragic-muse-1789.jpg;https://www.wikiart.org/en/joshua-reynolds;;no;5.364;1.4646785;0.41173586;-3.6673086;open;99.266;closed;0.01;68;99.867;59
52;Female;31;Post Renaissance Art;Romanticism;"Pierre-Paul Prud&#39;hon";Portrait of the Empress Josephine;Europe;1805;https://use2-uploads2.wikiart.org/images/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805.jpg;https://www.wikiart.org/en/pierre-paul-prud-hon;;no;3.505;-1.2879951;-20.277401;40.611263;open;99.999;closed;0;5.775;93.543;2
54;Female;24;Post Renaissance Art;Rococo;Allan Ramsay;George III;Europe;1700;https://use2-uploads2.wikiart.org/images/allan-ramsay/george-iii.jpg;https://www.wikiart.org/en/allan-ramsay;;no;49;-1.1046507;-1.4477235;25.736658;open;99.923;closed;6;0.14;99.436;0.2
56;Female;19;Post Renaissance Art;Neoclassicism;Gheorghe Tattarescu;Woman with Tambourine;Europe;1800;https://use2-uploads2.wikiart.org/images/gheorghe-tattarescu/woman-with-tambourine.jpg;https://www.wikiart.org/en/gheorghe-tattarescu;;no;39;4.191131;-17.082796;13.0082445;open;99.991;closed;0;0.0;99.995;5
